Gujrati,marathi
"18 ડિસેમ્બરના રોજની મિનિસ્ટરિઅલ સમિટમાં વાઇનમેકરોએ, દાયકાના અંત સુધીમાં, પુનઃઉપયોગ કરી શકાય તેવા કન્ટેનરમાં રિસાયક્લિંગ અથવા રિફિલિંગ માટે 10% પ્રોડક્ટો સપ્લાય કરવાની આવશ્યકતા હતી, જે 2040 સુધીમાં વધીને 40% થઈ જશે. મુક્તિ યુરોપિયન સંસદ દ્વારા સમર્થિત જરૂરિયાતને પણ લાગુ થશે, જેમાં 2029 સુધી ડિપોઝિટ-રિટર્ન સ્કીમમાંથી વાઇનને મુક્તિ આપવાની દરખાસ્ત કરવામાં આવી હતી.","18 डिसेंबरच्या मंत्र्यांच्या शिखर परिषदेमध्ये वाईन निर्मात्यांसाठी आवश्यकतेमधून सूट जाहीर करण्यात आली, या दशकाच्या अंतापर्यंत 10% उत्पादनांचा पुरवठा एका पुनर्वापर किंवा पुनर्भरणाच्या प्रणालीच्या अंतर्गत पुनर्वापरयोग्य कंटेनर्समध्ये झाला पाहिजे, जे प्रमाण 2040 मध्ये 40% इतके केले जाईल. युरोपियन पार्लमेंटने पाठिंबा दिलेली ही सूट या आवश्यकतेलाही लागू असेल, की वाईनला डिपॉझिट-परतावा योजनांमधूनही सूट मिळावी आणि या प्रस्तावानुसार 2029 पर्यंत स्थापित केल्या जातील."
ચેક અને બેલ્જિયમના બંને મંત્રીઓએ 18 ડિસેમ્બરના રોજની સમિટમાં બ્રૂવર સાથેના અસમાન વર્તન અંગે તાત્કાલિક આરક્ષણની જાહેરાત કરી હતી અને ઝડપથી સંમત થયા હતા. હાલમાં બેલ્જિયમ EU કાઉન્સિલનું પ્રમુખપદ ધરાવે છે અને તે આંતરસરકારી વાટાઘાટોમાં ન્યાયિક પણ છે. માર્ચની શરૂઆતમાં સંસદ સાથે કરાર સુધી પહોંચવાની તેને અભિલાષા છે.,"झेक आणि बेल्जियममधील मंत्र्यांनी 18 डिसेंबरच्या शिखर परिषदेत बीअर उत्पादकांना मिळालेल्या या असमान वागणुकीबद्दल त्वरित आक्षेप नोंदवले, पण नंतर त्यांनी ते मागे घेतले. EU काउन्सिलच्या आवर्ती पद्धतीने चालणार्‍या अध्यक्षपदावर सध्या बेल्जियम आहे, त्यामुळे सरकारांच्या अंतर्गत वाटाघाटींमध्ये तो तत्त्वतः निष्पक्ष आहे. त्याला आशा आहे की मार्च महिन्यापर्यंत त्याला पार्लमेंटशी काही तरी समझोता करता येऊ शकेल."
"સમગ્ર યુરોપના લગભગ 7,000 વાઇન ઉત્પાદકોનું પ્રતિનિધિત્વ કરતી કૉમિટ યુરોપિયન દેસ એન્ટરપ્રાઇઝિઝ વિન્સ વેપારી સંસ્થાના મહાસચિવ ઇગ્નાસિયો સાંચેજ રેકાર્ટે બીયરમેકરોની ચિંતાને નકારી દીધી છે. તેમણે યુરોન્યૂઝને જણાવ્યું કે બહુરાષ્ટ્રીય દારૂ બનાવનારા સમૂહોનું વર્ચસ્વ ધરાવતા બજારની તે બજાર સાથે કોઈ સરખામણી નથી, જેમાં લગભગ પૂર્ણપણે નાના, ઘરેલું નિર્માતાઓ શામેલ છે.","कोमिते युरोपीयन देस एंटरप्राइझेस वीन्स ट्रेड असोसिएशन, जी युरोपच्या विविध भागांमधील सुमारे 7,000 वाईन निर्मात्यांचे प्रतिनिधित्व करते, तिचे महासचिव इग्नेशियो सांचेझ रेकार्ते हे बीअर निर्मात्यांच्या चिंता मान्य करत नाहीत. त्यांनी युरोन्यूजला सांगितले, की बहुराष्ट्रीय ब्रुईंगच्या मोठमोठ्या कंपन्यांचे वर्चस्व असलेल्या बाजारपेठेमध्ये जवळजवळ पूर्णपणे छोट्या, देशांतर्गत निर्मात्यांच्या संघाशी तुलनाच होऊ शकत नाही."
"99%થી વધુ સ્થાનિક વાઇન સેક્ટર માઇક્રોથી મધ્યમ કદની કંપનીઓથી બનેલું છે, સાંચેઝ રેકાર્ટે બ્રુઅર દ્વારા કરવામાં આવતી કાનૂની દલીલોની નક્કરતા પર સવાલ ઉઠાવતા અને ભારપૂર્વક જણાવ્યું હતું કે, તેમની સંસ્થાએ પૉલિસી મેકરોને તેમના પોતાના ઉદ્યોગ માટે ""સંબંધિત અને યોગ્ય"" માહિતી રજૂ કરવા પર ધ્યાન કેન્દ્રિત કર્યું છે.","सांचेझ रेकार्ते म्हणाले की देशांतर्गत वाईन क्षेत्रामध्ये 99% हूनही अधिक कंपन्या अतिलघु ते मध्यम आकाराच्या आहेत. बीअर उत्पादकांच्या कायदेविषयक युक्तिवादावर प्रश्नचिन्ह उपस्थित करत त्यांनी ठामपणे सांगितले, की त्यांच्या संघटनेने तिच्या स्वतःच्या उद्योगाशी ""संबंधित आणि योग्य"" माहिती धोरणकर्त्यांना सादर करण्यावर लक्ष केंद्रित केलेले आहे."
"સાંચેજ રેકાર્ટે કહ્યું કે બીયર ક્ષેત્રનું આ કે તે લક્ષ્ય હોવું જોઈએ તેનો અંદાજ કાઢવાનું કામ મારું નથી, કારણ કે તે તેમના પોતાના ક્ષેત્રની આંતરિક વિશેષતાઓ પર આધારિત રહેશે. ""તે જ રીતે, બ્રૂવરે પણ પોતાના કામથી કામ રાખવું જોઈએ અને પોતાની જવાબદારીઓ પર ધ્યાન આપવું જોઈએ.""","बीअर क्षेत्रासाठी हे लक्ष्य असावे की ते, याचा अंदाज करणे ही माझी भूमिका नाही, कारण ती त्यांच्या स्वतःच्या क्षेत्रातील मूलभूत वैशिष्ट्यांवर अवलंबून असेल, सांचेझ रेकार्ते म्हणाले. ""त्याच प्रकारे बीअर उत्पादकांनी आपल्यापुरते पाहावे आणि आपल्या जबाबदार्‍यांवर लक्ष केंद्रित करावे."""
"યુરોપના બ્રુવરે ગત વર્ષે યુરોપિયન કમિશનને મોકલેલું એક સંક્ષિપ્ત કાનૂની વિશ્લેષણ યુરોન્યૂઝ સાથે શેર કર્યું, જ્યાં તે દલીલ કરે છે કે વાઇન અને બીયર એ સ્પર્ધાત્મક પ્રોડક્ટ છે કે જે ""ઓછામાં ઓછા આંશિક રીતે, એકબીજા સાથે અવેજીનું કામ કરી શકે છે"", અને દલીલ આપી કે એક બીજાની તરફેણ કરતા નિયમો બજારને વિકૃત કરશે.","ब्रुअर्स ऑफ युरोपने मागील वर्षी युरोपियन कमिशनला पाठवलेले एक संक्षिप्त कायदेविषयक विश्लेषण युरोन्यूजसोबत शेअर केले, ज्यात त्यांनी युक्तिवाद केला आहे की वाईन व बीअर ही दोन प्रतिस्पर्धी उत्पादने आहेत जी ""कमीत कमी अंशतः तरी एकमेकांच्या बदल्यात वापरता येण्यासारखी आहेत"", आणि असा युक्तिवाद केला आहे की एकापेक्षा दुसर्‍याला अधिक लाभदायक असलेल्या नियमांमुळे बाजारपेठेत असमानता निर्माण होईल."
"લૉબી ગ્રૂપના ઑપરેશનના વડા સિમોન સ્પિલેને જણાવ્યું હતું કે બ્રૂઅરે પૅકેજિંગને ટકાવી રાખવામાં ""પહેલેથી જ મોખરે છે"" અને 30 વર્ષ પછી બીયરના કેગનો લગભગ 165 વખત ફરીથી ઉપયોગ અને રિસાયકલ કરવામાં આવ્યો હતો. તેઓ રિસાયક્લિંગ સિસ્ટમને સપોર્ટ કરે છે જે ઘણા દેશોમાં પહેલાંથી જ અસ્તિત્વમાં છે, તેમણે જણાવ્યું હતું.","लॉबी गटाचे कार्यचालन प्रमुख सिमॉन स्पिलाने म्हणाले की ब्रूअर्स हे पॅकेजिंग पर्यावरणाला उपकारक करण्याच्या बाबतीत ""आधीपासूनच आघाडीवर आहेत"", त्यासाठी त्यांनी उदाहरण दिले की बीअर केग्ज 30 वर्षांनंतर नष्ट करून त्यांच्यावर पुनर्प्रक्रिया केली जाण्यापूर्वी सुमारे 165 वेळा वापरले जातात. ते म्हणाले की अनेक देशांमध्ये आधीपासूनच कार्यरत असलेल्या पुनर्वापर पुनर्प्रक्रिया प्रणालीचे समर्थन ते करत आहेत."
"તેથી અમે એક મહાત્વાકાંક્ષી PPWRની હિમાયત કરીએ છીએ, પરંતુ પૅકેજીંગ કાયદામાં એક સમાન તકની જરૂરિયાત છે જ્યાં બીયર અને અન્ય માદક પીણાં સમાન નિયમો અનુસાર ચાલે છે, દરેક ક્ષેત્ર લક્ષ્ય સુધી પહોંચવા અને સંગ્રહ પ્રણાલીઓનો સપોર્ટ કરવા માટે નિષ્પક્ષ રીતે સંઘર્ષ કરે છે, સ્પિલાને એ કહ્યું. ""કોઈપણ અન્ય દૃષ્ટિકોણ બ્રૂવરને સ્પર્ધાત્મક નુકસાનમાં મૂકે છે.""","त्यामुळे आम्ही महत्त्वाकांक्षी PPWR चा पुरस्कार करतो, पण आम्हाला पॅकेजिंगविषयक कायद्यांमध्ये समान पातळीवर परवानगी देणे गरजेचे आहे, जेथे बीअर आणि इतर अल्कोहोलिक पेयांसाठी तेच नियम असतील. त्यामध्ये प्रत्येक क्षेत्र लक्ष्ये साध्य करण्याच्या आणि संकलन प्रणाली वापरण्याला साहाय्य करण्याच्या बाबतीत समान योगदान करतील, असे स्पिलाने यांनी सांगितले. ""इतर कोणताही दृष्टिकोन ठेवल्यास स्पर्धेत ब्रुअर्सचेच अहित आहे."""
બાઇડન વહીવટ કોર્પોરેટ ગુનેહગારોને ન્યાયી પરિસ્થિતિમાં રહેવા દેતું નથી,बायडेन प्रशासन कॉर्पोरेट गुन्हेगारांना सोडून देत आहे
"પૂર્વ EPA અમલીકરણ એટર્ની અને પર્યાવરણીય જવાબદારી માટેના જાહેર કર્મચારીઓના એક્ઝિક્યુટિવ ડાયરેક્ટર ટીમ વ્હાઇટહાઉસે એવા પ્રયત્નોના સામે આવનારા મજબૂત અંતરાયોને સ્વીકારીને અમલીકરણ પરનાં બાઇડેન વહીવટના તાજેતરનાં સુધારાઓની પ્રશંસા કરી. તેમણે મને કહ્યું, ""એક સારો અમલીકરણ પ્રોગ્રામ બનાવવા માટે વર્ષોની સતત ફંડિંગ અને રાજનીતિક સમર્થન જરૂરી હોય છે."" ""કોંગ્રેસમાં અસ્થિરતા ફક્ત EPA કર્મચારીઓને નિરાશ જ નથી કરી રહી પરંતુ લાંબા સમયગાળામાં વ્યૂહરચનાત્મક રૂપથી વિચારવાની તેમની ક્ષમતાને નબળી પાડી રહી છે.""","पूर्वी EPA चे सक्तवसुली विभागात वकील असलेले व पब्लिक एम्प्लॉईज फॉर एन्व्हायरनमेंटल रिस्पॉन्सिबिलिटीचे कार्यकारी संचालक टिम व्हाइटहाऊस यांनी बायडेन प्रशासनाने नुकत्याच केलेल्या सक्तवसुलीमधील सुधारणांची स्तुती केली, आणि त्याच वेळी अशा प्रयत्नांना होणारा विरोधही मान्य केला. ""चांगला सक्तवसुली कार्यक्रम तयार करण्यासाठी अनेक वर्षांचा सातत्याचा निधीपुरवठा आणि राजकीय पाठिंबा गरजेचा असतो,"" त्यांनी मला सांगितले. ""कॉंग्रेसमधील अस्थिरतेमुळे EPA कर्मचार्‍यांच्या मनोबलावर परिणाम होत आहे, शिवाय दीर्घकाळाचा धोरणात्मक विचार करण्याच्या त्यांच्या क्षमतेचे खच्चीकरणही करत आहे."""
"EPA ખાતેની સમસ્યાઓ અલગ છે પરંતુ ન્યાય વિભાગની સમસ્યાઓથી અસંબંધિત નથી, જે તેના પર્યાવરણ અને પ્રાકૃતિક સંસાધન વિભાગ અથવા ENRD દ્વારા પર્યાવરણીય અપરાધોને હેન્ડલ કરે છે. EPAમાં જોડાતા પહેલા, ઉહલમેન - અમલીકરણ માટે EPA સહાયક સચિવ- તેમણે 1990થી 2007 સુધી તે વિભાગના પર્યાવરણીય અપરાધ વિભાગના પ્રમુખ તરીકે કાર્ય કર્યું હતું. EPA પોતાના સૌથી વધુ ગંભીર નાગરિક અને ફોજદારી મામલાઓને ENRDને મોકલે છે, જે - અપેક્ષાકૃત ઓછું ફંડિંગ ધરાવતું કાર્યાલય છે - ઘણીવાર કઈ લડત લડવી છે તે પસંદ કરવામાં મદદ માટે અન્ય એજન્સીઓ પર નિર્ભર હોય છે. નાણાંકીય વર્ષ 2022માં, EPAએ DOJને 2000થી કોઈપણ પૉઇન્ટ પર ઓછા મામલા વિલંબિત કર્યા(88) અને ત્યાર સુધી કરેલા તેની સરખામણીમાં ઓછા નાગરિક ન્યાયિક મામલાઓનો નિષ્કર્ષ તારવ્યો છે. જેવું કે પર્યાવરણ અખંડતા પ્રોજેક્ટ નોંધ કરે છે, અહીં સુધી કે ટ્રમ્પના EPAએ પણ 94 નાગરિક મામલા પૂરા કર્યા અને વર્ષ દીઠ સરેરાશ 106 મામલાઓને DOJ માટે વિલંબિત કરવામાં આવ્યાં.","EPA मधील समस्या स्पष्ट आहेत, पण एन्व्हारयनमेंटल ॲंड नॅचरल रिसोर्सेस डिव्हिजन किंवा ईएनआरडी मार्फत पर्यावरणविषयक गुन्हे हाताळणार्‍या डिपार्टमेंट ऑफ जस्टिसमधील समस्यांशी त्यांचा अगदीच संबंध नाही, असे नव्हे. EPA मध्ये येण्यापूर्वी उल्हमान - EPA चे सक्तवसुलीसाठी विभागाचे सहाय्यक सचिव - यांनी त्या विभागामधील पर्यावरणविषयक गुन्हे उपविभागाचे प्रमुख म्हणून 1990 ते 2007 इतक्या दीर्घकाळपर्यंत काम केले होते. EPA ही त्यांच्या सर्वात गंभीर नागरी आणि गुन्हेगारी केसेस तुलनेने कमी निधीपुरवठा होत असलेल्या ENRD ऑफिसकडे पाठवते, आणि त्यापैकी कोणत्या केसेस लढायच्या याची निवड करण्यासाठी ईएनआरडी इतर विभागांवर अवलंबून राहते. आर्थिक वर्ष 2022 मध्ये EPA ने 2000 पासून थोड्या कमी केसेस (88) DPJ कडे पाठवल्या, तसेच तेव्हापासूनच्या नागरी न्यायालयीन केसेस थोड्या कमी पूर्ण केल्या. इन्व्हायरन्मेंटल इंटिग्रिटी प्रोजेक्टने दखल घेतली आहे, तसेच ट्रम्प यांच्या EPA ने सुद्धा दर वर्षी सरासरी 94 नागरी न्यायालयीन केसेस पूर्ण केल्या आणि DOJ कडे सरासरी दर वर्षी 106 केसेस पाठवल्या."
"કૉર્પોરેટ અપરાધો પ્રત્યે ન્યાય વિભાગનો દૃષ્ટિકોણ વકીલો દ્વારા ગહન તપાસ હેઠળ આવ્યો છે. જ્યારે કે નિરીક્ષણકર્તાઓએ એટર્ની જનરલના રૂપમાં મેરિક ગારલૅન્ડના કાર્યકાળ દરમિયાન વિભાગ દ્વારા લેવામાં આવેલા કેટલાક પગલાઓની પ્રશંસા કરી છે - જેમ કે છેવટે કૉર્પોરેટ અપરાધ પર એક ડેટાબેસ તૈયાર કરવો - બાઇડેનના DOJએ પણ ઉદારતા કરારો પર ભારે ઝુકાવ આપ્યો છે જે કંપનીઓને કાર્યવાહીને વિલંબિત કરવા અથવા ટાળવાની મંજૂરી આપે છે અને કંપનીઓને વ્યાપક આરોપથી બચવા માટે વ્યક્તિગત કર્મચારીઓને બલિનો બકરો બનાવવા માટે પ્રોત્સાહિત કરે છે. DOJના આપરાધિક વિભાગના પૂર્વ સહાયક એટર્ની જનરલ, કેન્નેથ પોલાઇટ જૂનિયરે કાર્યવાહીને મર્યાદિત કરવા માટે વિભાગની કૉર્પોરેટ અમલીકરણની પૉલિસીને સંશોધિત કરી છે.","वकील मंडळी कॉर्पोरेट गुन्ह्यांच्या बाबतीत डिपार्टमेंट ऑफ जस्टिसच्या दृष्टिकोनाची बारकाईने तपासणी करत आहेत. एकीकडे निरीक्षक संस्थांनी, मेरिक गार्लंड हे ॲटर्नी जनरल असतानाच्या काळात डिपार्टमेंटने उचललेल्या काही पावलांची स्तुती केली आहे - जसे कॉर्पोरेट गुन्ह्यांचा डेटाबेस एकदाचा तयार करणे - तर बायडेन यांच्या DOJ ने सुद्धा अशा उदारता करारांवर प्रचंड वजन आणले आहे, ज्यांच्यामुळे कंपन्यांना त्यांच्यावर खटले भरले जाणे पुढे ढकलणे किंवा टाळणे शक्य होते, आणि कंपन्यांना मोठ्या प्रमाणावर बदल करण्याचे टाळण्यासाठी वैयक्तिकरीत्या कर्मचार्‍यांना बळीचे बकरे बनवण्यास प्रोत्साहन दिले. DOJ च्या गुन्हे विभागाचे माजी साहाय्यक ॲटर्नी जनरल केनेथ पोलाईट, ज्यु. यांनी खटले भरण्याच्या केसेस मर्यादित ठेवण्यासाठी त्या विभागाच्या कॉर्पोरेट सक्तवसुली धोरणामध्ये सुधारणा केल्या."
સરકાર બંધ થવાની ચર્ચાએ હાઉસ રિપબ્લિકનમાં ગૃહયુદ્ધને હવા આપી.,सरकारच्या शटडाऊनवरील चर्चेमुळे हाऊस रिपब्लिकन यादवीमध्ये आगीत तेल ओतले गेले
"ડેમોક્રેટિક આગેવાનીની સાથે સ્પીકર માઇક જ્હોન્સનની તાજેતરની ખર્ચ ડીલના વિરોધમાં પ્રતિનિધિઓની સભામાં પરંપરાગત ખર્ચના સમર્થકોએ આજે પાર્ટી નેતૃત્વને આંચકો આપ્યો - મતદાનોની એક શ્રેણીને પાટા પરથી ઉતારી દીધી, કારણ કે તેમને લાગે છે કે આ નાણાકીય વર્ષ કપાત માટે પર્યાપ્ત નથી.","हाऊस ऑफ रिप्रेझेंटेटिव्हजमधील खर्चांवर लक्ष ठेवणार्‍या काकदृष्टीच्या पुराणमतवाद्यानी, सभाध्यक्ष माईक जॉन्सन यांनी डेमॉक्रेटिक पक्षाच्या नेतृत्वासोबत नुकत्याच केलेल्या खर्चविषयक समझोत्याच्या निषेधार्थ आज पक्ष नेतृत्वाच्या विरोधात भूमिका घेतली, जो त्यांच्या मते आर्थिक तरतुदी पुरेशा प्रमाणात कमी करत नाही - ज्यामुळे अनेक बाबतीत मतदान करणे शक्य झाले नाही."
"જ્યારે કે લુઇસિયાના રિપબ્લિકન હજી આ મુદ્દાનો સામનો કરવાથી બચી શકે છે, 19 જાન્યુઆરીના રોજ દેશના 12 વાર્ષિક ખર્ચના બિલોમાંથી ચારને પાસ કરવાની સમયસીમાનો સામનો કરવો પડશે. જોહ્ન્સને જાહેરમાં કહ્યું છે કે તે આ ચાર બિલ પર સમયસીમાને બાકીના આઠ બિલ માટે 2 ફેબ્રુઆરી સુધી વધારવા માટે ""સતત સંકલ્પ""(CR)ને સપોર્ટ કરશે નહીં.","सध्या जरी लुईसियानामधील रिपब्लिकन पक्ष या समस्येचा सामना करण्याचे टाळू शकत असला, तरी 19 जानेवारी रोजी देशासमोर वार्षिक बारा खर्चविषयक विधेयकांपैकी चार विधेयके पास करण्याची अंतिम मुदत येणार आहे. जॉन्सन यांनी जाहीररीत्या सांगितले आहे, की केवळ बाकीच्या आठ विधेयकांची अंतिम मुदत 2 फेब्रुवारीपर्यंत आहे, म्हणून या चार विधेयकांची अंतिम मुदत वाढवण्याच्या ""कंटिन्यूएशन रेझोल्युशन"" (CR) ला आपण पाठिंबा देणार नाही."
"ઉપરાંત, તે સમયસીમાના માત્ર 9 દિવસ બાકી છે, સેનેટ રિપબ્લિકન લીડર મિચ મેકકોનેલે કહ્યું છે કે કોંગ્રેસને વસ્તુઓ ખુલ્લી રાખવા માટે એક CR પસાર કરવાની જરૂર છે, જેનો અર્થ એમ થાય છે કે સ્પીકર ટૂંક સમયમાં તેમના વચનનો ભંગ કરી શકે છે, મોટે ભાગે તેમના સમર્થકોને ખુશ કરવા. આવા દાવપેચ ખર્ચમાં કાપ અંગેના GOPના વલણ પર નજીકથી વિભાજિત ગૃહમાં વૈચારિક લડાઈને ઉત્તેજિત કરી શકે છે જે આંશિક સરકારી શટડાઉન તરફ દોરી શકે છે અથવા જોહ્ન્સનને બરતરફ કરવામાં આવી શકે છે.","परंतु ती अंतिम तारीख फक्त 9 दिवसांवर आलेली असताना सिनेटमधील रिपब्लिकन पक्षाचे नेते मिच मॅकॉनेल (McConnell) यांनी म्हटले आहे, की गोष्टी खुल्या ठेवण्यासाठी कॉंग्रेसला एक CR पारित करावे लागेल, याचा अर्थ असा की सभाध्यक्षांनी दिलेले एक आश्वासन त्यांना लवकरच मोडावे लागू शकेल, तेही मुख्यतः त्यांच्या उजव्या बाजूला संतुष्ट ठेवण्यासाठी. अशा खेळीमुळे सत्ताधारी व विरोधी पक्षांची संख्या जवळजवळ समान असलेल्या हाऊसमध्ये खर्चांमध्ये कपात करण्याच्या बाबतीतील GOP च्या भूमिकेवरून जोरदार तात्विक युद्धाची ठिणगी पडू शकेल, ज्यामुळे सरकारला अंशतः शटडाऊनला सामोरे जावे लागू शकेल किंवा जॉन्सन यांना पदावरून हटवावे लागू शकेल."
"મોંટાનાના કોંગ્રેસમેન મેટ રેસેંડેલે ન્યૂઝવીકને જણાવ્યું, હું ખૂબ જ સ્પષ્ટ છું કે CR અમારી સરકારને ભંડોળ આપવાની આ રીત નથી, 1974નો બજેટ એક્ટ આપણને 12 એપ્રોપ્રિએશન બિલ પાસ કરવા માટે કહે છે. ""આપણી પાસે આમ કરવા માટે પૂરતો સમય છે અને જો આગેવાની સમિતિઓને કામ પૂરું કરવા અને સભ્યોને તેના પર મતદાન કરવા માટે સક્ષમ થવાનો નિર્દેશ આપવામાં આવતો નથી, તો તેમાં વિભાજન રહેલું છે.""","बजेट कायदा॒ 1974 अन्वये आपल्याला बारा खर्च विधेयके पास करावी लागतात, अशा परिस्थितीत सरकारला निधीपुरवठा करण्यासाठी सीआर हा मार्ग नाही, या बाबतीत माझी भूमिका नेहमी स्पष्ट राहिली आहे, मोन्टानाचे कॉंग्रेस सदस्य मॅट रोझेन्डेल यांनी न्यूजवीकला सांगितले. ""हे करण्यासाठी आपल्याला भरपूर वेळ मिळालेला आहे, आणि नेतृत्वाने जर समित्यांना काम करून घेण्याचे निर्देश दिले नाहीत आणि सदस्यांना त्यावर मतदान करता आले नाही, तर यातच ब्रेकडाऊन दडलेला आहे."""
"વોશિંગ્ટન D.C. જ્હોન્સન 12 ડિસેમ્બર, 2023 ના રોજ U.S. કેપિટલમાં હાઉસ સ્પીકર માઇક જ્હોન્સનનું ચિત્ર દર્શાવવામાં આવ્યું છે, જે સરકારી ખર્ચના લેવલ પર કરાર સુધી પહોંચવામાં અસમર્થ રિપબ્લિકન કોન્ફરન્સનો સામનો કરી રહ્યાં છે. કેવિન ડાયટ્ઝ/ગેટી ઈમેજીસ તરફથી ફોટો","12 डिसेंबर 2023 रोजी वॉशिंग्टन डी. सी. मधील यू.एस.च्या कॅपिटॉलमधील सदनाचे अध्यक्ष माईक जॉन्सन यांचे हे छायाचित्र. जॉन्सन हे रिपब्लिकन पक्षाच्या अशा एका ताळतंत्र सोडलेल्या बैठकीला तोंड देत आहेत, जिचे सरकारी खर्चांच्या पातळ्यांच्या बाबतीत एकमत होऊ शकत नाही. फोटो - केविन डिएट्श/गेट्टी इमेजेस"
"રોસેન્ડેલ, હાર્ડ-રાઇટ ફ્રીડમ કૉકસના સભ્ય, બુધવારના મત પાછળના આંકડાઓમાંના એક હતા. જ્હોન્સનના સોદામાં ટોપ લાઇન નંબર ખૂબ વધારે છે અને તે માને છે કે તે $34 ટ્રિલિયન રાષ્ટ્રીય દેવું ઘટાડવા માટે બહુ ઓછું કરે છે.","रोझेन्डेल, कट्टर-उजव्या फ्रीडम कॉकसचे सदस्य, हे ज्यांनी बुधवारच्या मतांना उशीर केला त्यापैकी एक व्यक्ती होते. ते समजतात की जॉन्सन यांच्या समझोत्यातील सर्वात वरचा ओळ क्रमांक खूपच उच्च आहे आणि $34 ट्रिलियन राष्ट्रीय कर्जात कपात करण्यासाठी खूपच कमी काम करत आहे."
"રોસેડેલ પણ તે 71 રિપબ્લિકનોમાં શામેલ છે જેમણે ડેમોક્રેટ અને પૂર્વ સ્પીકર કેવિન મૅક્કાર્થીની વચ્ચે થયેલા નાણાકીય જવાબદારી અધિનિયમનો વિરોધ કર્યો હતો, એક ડીલ કે જેણે સીનેટ ડેમોક્રેટિક નેતા ચાર્લ્સ શૂમરની સાથે જોહ્ન્સનની તાજેતરની વાતચીત માટે પેરામીટર સેટ કર્યા હતા.","तसेच रोझेन्डेल हे अशा 71 रिपब्लिकन सदस्यांपैकी एक होते, ज्यांनी डेमॉक्रेटिक सदस्य आणि माजी सदनाचे अध्यक्ष केव्हिन मॅकार्थी (McCarthy) यांच्या दरम्यान अडकून बसलेल्या फिस्कल रिस्पॉन्सिबिलिटी कायद्याला विरोध केला; हा एक असा समझोता होता ज्याने सिनेटच्या डेमॉक्रेटिक पक्षाचे नेते चार्ल्स शूमर यांच्याबरोबर जॉन्सन यांनी अलीकडे केलेल्या वाटाघाटींच्या अटी निश्चित केल्या."
"જ્હોન્સને ખર્ચમાં અંદાજે $16 બિલિયનની કપાત માટેની તેની ડીલની ઉજવણી કરી, પણ ફ્રીડમ કૉકસનું માનવું છે કે તેને હજી મળી શક્યા હોત. મેકકાર્થીની ડીલનું સમર્થન કરનારા ઉદારવાદી રિપબ્લિકનો તે વલણને અવાસ્તવિક માને છે અને તાજેતરનાં વર્ષોના ""સર્વગ્રાહી"" પગલાંની વિપરીત કોંગ્રેસના 12 વ્યક્તિગત ખર્ચ બિલને પાસ કરવા માટે ફરજ પાડવાના રિપબ્લિકન લક્ષ્યની વિરુદ્ધ ચાલી રહ્યાં છે, જેણે તે 12 બિલને એક મતમાં જોડી દીધા.","खर्चांमध्ये अंदाजे 16 बिलियन डॉलरची कपात करणार्‍या आपल्या समझोत्याबद्दल जॉन्सन यांनी आपली पाठ थोपटून घेतली, पण फ्रीडम कॉकसची खात्री आहे की त्यांना आणखी यश मिळू शकले असते. मॅकार्थी (McCarthy) यांच्या समझोत्याला पाठिंबा दिलेल्या मध्यममार्गी रिपब्लिकन्सच्या मते ही भूमिका वास्तवाला सोडून आहे आणि कॉंग्रेसला, मागील काही वर्षांमध्ये सर्व बारा विधेयकांसाठी एकच मत ठेवण्याच्या ""ओम्निबस"" उपायाच्या ऐवजी बारा वेगवेगळी खर्च विधेयके पास करायला भाग पाडण्याच्या रिपब्लिकन पक्षाच्या उद्दिष्टाच्या ती विरोधात आहे."
"ન્યૂયોર્ક રિપબ્લિકન પ્રતિનિધિ માઈક લૉલેરે ન્યૂઝવીકને જણાવ્યું હતું કે, ""નવા વર્ષમાં, કેટલાક લોકો દ્વારા સમાન મૂર્ખ વર્તન કરવામાં આવે છે. ""અમે ઑમ્નિબસ નથી કરી રહ્યાં, તેથી દરેક બિલને કોન્ફરન્સમાં અને વાટાઘાટમાં લેવાનું હોય છે. દેખીતી રીતે, વાસ્તવિકતા એ છે કે અમને તે કરવા માટે વધુ સમયની જરૂર પડશે. હું સરકારને શટડાઉન પ્રક્રિયાને પસાર થવા દેવા માટે ટેકો આપતો નથી ટૂંકા ગાળાનો CR કરવામાં મને કોઈ સમસ્યા નથી.""","नवीन वर्ष, तरीही काहींनी जुनेच मूर्खपणाचे वर्तन चालू ठेवले, न्यूयॉर्कचे रिपब्लिकन प्रतिनिधी माईक लॉलर यांनी न्यूजवीकला सांगितले. ""आम्ही ओम्निबस अवलंबणार नाही, त्यामुळे परिषदेत प्रत्येक विधेयक स्वतंत्रपणे हाताळून त्यावर वाटाघाटी कराव्या लागतील. हे करण्यासाठी आम्हाला अधिक वेळ लागेल अर्थातच,हे उघड वास्तव आहे आणि मी सरकारच्या शटडाऊनला पाठिंबा देणार नाही, त्यामुळे मला अल्पकाळासाठी एक CR करण्यास काहीही समस्या नाही, ज्यामुळे ही प्रक्रिया पूर्ण करता येईल."""
